code,name,description
H&N,Health and Nutrition,Medical and nutrition programs including primary healthcare
WASH,Water Sanitation and Hygiene,Clean water and sanitation infrastructure and promotion
LVL,Livelihood,Economic empowerment and livelihood support programs
EDU,Education,Formal and non-formal education programs
EPRR,Emergency Preparedness,Disaster response readiness and contingency planning
R&L,Research and Learning,Monitoring, evaluation and research activities
PROT,Protection,Child protection and gender-based violence prevention
