"sku","name","category_name","item_type","description","strength","dosage_form","uom_abbreviation","is_batch_tracked","is_expiry_tracked","is_cold_chain","is_hazardous","is_essential","is_controlled","is_asset","replenishment_type","valuation_method","manufacturers","source"
"DRUG-folic-acid-zinc-sulfate-monohydrate-0338","Folic Acid + Zinc Sulfate Monohydrate","Vitamins & Minerals","drug","Folic Acid + Zinc Sulfate Monohydrate | (5 mg+20 mg, 500 mg+22.5 mg, Concord Pharmaceuticals Ltd.) | Dosage: 5 Mg+20 Mg, 500 Mg+22.5 Mg, Aristopharma Ltd. | Mfr: Capsule, Eskayef Pharmaceuticals Ltd.","5 mg+20 mg; 500 mg+22.5 mg; Concord Pharmaceuticals Ltd.; Incepta Pharmaceuticals Ltd.; Jayson Pharmaceutical Ltd.; Omazif; Pacific Pharmaceuticals Ltd.; PreMum; Supreme Pharmaceutical Ltd.; Zifolet; Zinfo; ZnF","5 Mg+20 Mg; 500 Mg+22.5 Mg; Aristopharma Ltd.; Capsule; Ibn Sina Pharmaceuticals Ltd.; Marker Pharma Ltd.; One Pharma Ltd.; Radiant Pharmaceuticals Ltd.; Square Pharmaceuticals Plc; Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Capsule; Eskayef Pharmaceuticals Ltd.; Folneed; Folzin; Fosul; Hemax PG; Lifozin; Opsonin Pharma Ltd.; Orion Pharma Ltd.; Tablet","medex.com.bd"
"DRUG-folinic-acid-0339","Folinic Acid","Antidotes & Antivenoms","drug","Folinic Acid | (10 mg/ml, 15 mg, 5 mg) | Dosage: 10 Mg/Ml, 15 Mg, 5 Mg | Mfr: ACI Limited, Biofol","10 mg/ml; 15 mg; 5 mg; BOTS Pvt. Limited; Delta Pharma Ltd.; Folidid; Folimax; Folinex; Incepta Pharmaceuticals Ltd.; Techno Drugs Ltd.","10 Mg/Ml; 15 Mg; 5 Mg; Beacon Pharmaceuticals Plc; Delta Pharma Ltd.; Eskayef Pharmaceuticals Ltd.; Im/Iv Injection; One Pharma Ltd.; Tablet","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","ACI Limited; Biofol; Folcasin; Folicid; Folidel; IM/IV Injection; Tablet; ZAS Corporation
(Mfg. by: Solupharm GmbH, Germany)","medex.com.bd"
"DRUG-follicle-stimulating-hormone-fsh-0340","Follicle Stimulating Hormone (FSH)","Hormones & Corticosteroids","drug","Follicle Stimulating Hormone (FSH) | (75 IU/vial, Popular Pharmaceuticals Ltd.) | Dosage: 150 Iu/Vial, Im/Sc Injection | Mfr: Popular Pharmaceuticals Ltd., Renata PLC","75 IU/vial; Popular Pharmaceuticals Ltd.","150 Iu/Vial; Im/Sc Injection","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Popular Pharmaceuticals Ltd.; Renata PLC; ZAS Corporation
(Mfg. by: Biofactor GmbH-Germany)","medex.com.bd"
"DRUG-furosemide-0341","Furosemide","Cardiovascular","drug","Furosemide | (250 mg, 40 mg, G-Furosemide) | Dosage: 20 Mg/2 Ml, 20 Mg/5 Ml, 40 Mg | Mfr: Frusin, Fusid","250 mg; 40 mg; G-Furosemide; Gonoshasthaya Pharma Ltd.; Lasix; Opsonin Pharma Ltd.; Square Pharmaceuticals PLC; Trofurit","20 Mg/2 Ml; 20 Mg/5 Ml; 40 Mg; Ambee Pharmaceuticals Ltd.; Gonoshasthaya Pharma Ltd.; Synovia Pharma Plc.; Tablet","EA","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","min_max","fifo","Frusin; Fusid; G-Furosemide; IM/IV Injection; Opsonin Pharma Ltd.; Pacific Pharmaceuticals Ltd.; Tablet; UniMed UniHealth Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-furosemide-spironolactone-0342","Furosemide + Spironolactone","Cardiovascular","drug","Furosemide + Spironolactone | (20 mg+50 mg, 40 mg+50 mg, ACME Laboratories Ltd.) | Dosage: 20 Mg+50 Mg, 40 Mg+50 Mg, Eskayef Pharmaceuticals Ltd. | Mfr: ACI Limited, Drug International Ltd.","20 mg+50 mg; 40 mg+50 mg; ACME Laboratories Ltd.; Eskayef Pharmaceuticals Ltd.; Frucard; Frulac; Frusin Plus; Incepta Pharmaceuticals Ltd.","20 Mg+50 Mg; 40 Mg+50 Mg; Eskayef Pharmaceuticals Ltd.; Navana Pharmaceuticals Ltd.; Opsonin Pharma Ltd.; Orion Pharma Ltd.; Tablet","EA","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","min_max","fifo","ACI Limited; Drug International Ltd.; Edeloss Plus; Edemide; Edenil; Tablet","medex.com.bd"
"DRUG-fusidic-acid-0343","Fusidic acid","Antibiotics","drug","Fusidic acid | (0.01) | Dosage: Viscous Eye Drop | Mfr: Aristopharma Ltd., Leo Pharmaceuticals Ltd.","0.01","Viscous Eye Drop","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Aristopharma Ltd.; Leo Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-fusidic-acid-betamethasone-0344","Fusidic acid + Betamethasone","Antibiotics","drug","Fusidic acid + Betamethasone | (2%+0.1%, Biopharma Limited, Gaco Pharmaceuticals Ltd.) | Dosage: 2%+0.1%, Cream | Mfr: Eskayef Pharmaceuticals Ltd., Fusigal","2%+0.1%; Biopharma Limited; Gaco Pharmaceuticals Ltd.; Medicon Pharmaceuticals Ltd.; Orion Pharma Ltd.; Sharif Pharmaceuticals Ltd.","2%+0.1%; Cream","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Eskayef Pharmaceuticals Ltd.; Fusigal; Fusimed BT; Leo Pharmaceuticals Ltd.; Mexiderm-F; Opsonin Pharma Ltd.; Xzema","medex.com.bd"
"DRUG-fusidic-acid-hydrocortisone-0345","Fusidic acid + Hydrocortisone","Antibiotics","drug","Fusidic acid + Hydrocortisone | (2%+1%, Aristopharma Ltd., Drug International Ltd.) | Dosage: 2%+1%, Asiatic Laboratories Ltd., Cream | Mfr: Chemist Laboratories Ltd., Cream","2%+1%; Aristopharma Ltd.; Drug International Ltd.; Fusitop-HC; Fusitrim; Gaco Pharmaceuticals Ltd.; Novo Healthcare and Pharma Ltd.; Opsonin Pharma Ltd.; Topiderm","2%+1%; Asiatic Laboratories Ltd.; Cream; Euro Pharma Ltd.; Popular Pharmaceuticals Ltd.; Square Pharmaceuticals Plc","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Chemist Laboratories Ltd.; Cream; Eskayef Pharmaceuticals Ltd.; Fusibac-H; Fusicort; Fusidate H; Fusidin HC; Fusikin-HC; Incepta Pharmaceuticals Ltd.","medex.com.bd"
"DRUG-gabapentin-0346","Gabapentin","Analgesics & Anti-inflammatory","drug","Gabapentin | (100 mg, 300 mg, Beacon Pharmaceuticals PLC) | Dosage: 100 Mg, 300 Mg, Doctor Tims Pharmaceuticals Ltd. | Mfr: Gabantin, Gabapen","100 mg; 300 mg; Beacon Pharmaceuticals PLC; GBR; Gabastar; Gabatin; Gpentin; Incepta Pharmaceuticals Ltd.; Nepsy; Sun Pharmaceutical (Bangladesh) Ltd.","100 Mg; 300 Mg; Doctor Tims Pharmaceuticals Ltd.; Eskayef Pharmaceuticals Ltd.; Opsonin Pharma Ltd.; Square Pharmaceuticals Plc; Tablet; Unimed Unihealth Pharmaceuticals Ltd.","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Gabantin; Gabapen; Gabastar; Goodman Pharmaceuticals Ltd.; Renata PLC; Tablet","medex.com.bd"
"DRUG-gadodiamide-0347","Gadodiamide","Diagnostic Contrast Media","drug","Gadodiamide | (287 mg/ml) | Dosage: Iv Injection | Mfr: Popular Pharmaceuticals Ltd., Techno Drugs Ltd.","287 mg/ml","Iv Injection","EA","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","min_max","fifo","Popular Pharmaceuticals Ltd.; Techno Drugs Ltd.","medex.com.bd"
